"trade_id","date","symbol","side","qty","price","commission","client_id","desk"
"T0000036",2026-05-23,"GOOG","SELL",721.3865,132.2813,0.149,"C0003","EQ"
"T0000037",2026-05-30,"MSFT","BUY",16.4932,14.7766,0.0858,"C0042","FI"
"T0000038",2026-02-27,"AMZN","SELL",974.9606,71.3897,0.1692,"C0023","EQ"
"T0000039",2026-05-16,"AAPL","BUY",452.631,35.8834,0.0897,"C0075","EQ"
"T0000040",2026-02-05,"NVDA","BUY",49.4629,176.0375,0.1106,"C0049","WEALTH"
"T0000041",2026-03-09,"AMZN","SELL",201.4654,76.8413,0.2122,"C0019","FI"
"T0000042",2026-05-26,"AMZN","BUY",106.0572,24.0443,0.1145,"C0024","EQ"
"T0000043",2026-04-19,"GOOG","SELL",15.8963,19.174,0.0499,"C0027","DERIV"
"T0000044",2026-04-02,"GOOG","BUY",932.3229,65.6069,0.116,"C0001","FX"
"T0000045",2026-01-04,"META","BUY",191.7843,42.7079,0.049,"C0077","FI"
"T0000046",2026-06-27,"META","SELL",970.4375,51.0565,0.0991,"C0042","FI"
"T0000047",2026-04-09,"DOLAR","SELL",355.0043,47.8186,0.0927,"C0041","EQ"
"T0000048",2026-06-26,"GOOG","SELL",932.3985,92.2046,0.913,"C0054","EQ"
"T0000049",2026-06-03,"AAPL","BUY",136.0527,23.1069,0.1825,"C0060","FI"
"T0000050",2026-04-24,"SP500","SELL",854.3422,877.1936,0.1772,"C0041","FI"
"T0000051",2026-01-06,"GOOG","BUY",763.1364,69.08,0.1533,"C0057","DERIV"
"T0000052",2026-05-14,"AAPL","BUY",640.7524,35.5486,0.0989,"C0001","EQ"
"T0000053",2026-05-10,"SP500","SELL",818.1479,48.6271,0.0273,"C0029","WEALTH"
"T0000054",2026-04-26,"META","BUY",502.9118,84.2429,0.4033,"C0034","EQ"
"T0000055",2026-01-03,"AAPL","BUY",373.2916,90.6803,0.0997,"C0049","EQ"
"T0000056",2026-04-28,"ORO","SELL",890.8403,13.1987,0.081,"C0032","EQ"
"T0000057",2026-05-29,"NVDA","SELL",70.156,10.4551,0.0931,"C0048","EQ"
"T0000058",2026-01-02,"EURO","SELL",74.922,50.809,0.259,"C0047","FI"
"T0000059",2026-04-12,"LETRA","BUY",724.0774,106.6382,0.2126,"C0028","FI"
"T0000060",2026-05-18,"MSFT","BUY",953.4966,62.3643,0.3004,"C0032","WEALTH"
"T0000061",2026-02-09,"NVDA","BUY",197.114,124.0172,0.1607,"C0070","EQ"
"T0000062",2026-01-05,"MSFT","BUY",436.664,75.3807,0.1268,"C0074","FI"
"T0000063",2026-02-02,"TSLA","BUY",204.0894,75.8891,0.117,"C0068","WEALTH"
"T0000064",2026-06-26,"BONO2027","SELL",925.7369,209.3797,0.0534,"C0010","EQ"
"T0000065",2026-04-13,"TSLA","BUY",559.7061,23.3434,0.1588,"C0079","FI"
"T0000066",2026-04-19,"MSFT","BUY",375.6824,28.9918,0.111,"C0055","DERIV"
"T0000067",2026-03-14,"DOLAR","SELL",165.3315,74.5008,0.108,"C0053","EQ"
"T0000068",2026-06-06,"NVDA","SELL",970.4146,66.9,0.2556,"C0021","EQ"
"T0000069",2026-03-17,"GOOG","SELL",384.7334,9.4903,0.2811,"C0076","FI"
"T0000070",2026-01-09,"AAPL","SELL",486.1179,83.9516,0.5924,"C0027","FI"
"T0000071",2026-02-04,"META","SELL",221.1405,19.4547,0.1796,"C0040","WEALTH"
"T0000072",2026-01-16,"AMZN","BUY",335.4844,20.4824,0.1284,"C0011","EQ"
"T0000073",2026-04-11,"AMZN","BUY",652.9231,217.3895,0.0788,"C0010","DERIV"
"T0000074",2026-03-10,"DOLAR","BUY",753.3089,138.1426,0.1332,"C0071","FI"
"T0000075",2026-04-28,"META","BUY",199.4924,30.0082,0.3816,"C0078","FI"
"T0000076",2026-05-10,"NVDA","SELL",286.4713,207.1282,0.118,"C0022","EQ"
"T0000077",2026-03-23,"TSLA","BUY",200.2024,35.739,0.3789,"C0077","EQ"
"T0000078",2026-06-01,"LETRA","SELL",566.9289,124.3274,0.1189,"C0068","EQ"
"T0000079",2026-04-23,"TSLA","BUY",168.8848,164.2475,0.1542,"C0060","EQ"
"T0000080",2026-05-26,"BONO2027","BUY",943.6875,158.3491,0.6022,"C0032","WEALTH"
"T0000081",2026-03-10,"META","SELL",504.9037,148.967,0.1381,"C0045","EQ"
"T0000082",2026-04-20,"AMZN","BUY",48.0224,43.3858,0.0569,"C0033","FX"
"T0000083",2026-04-14,"MSFT","BUY",887.9194,35.2551,0.0907,"C0017","FI"
"T0000084",2026-02-09,"GOOG","SELL",197.5808,148.8802,0.0721,"C0021","FX"
"T0000085",2026-05-29,"TSLA","BUY",187.8471,51.5536,0.1434,"C0032","EQ"
"T0000086",2026-02-26,"AAPL","SELL",566.5603,31.6282,0.0964,"C0024","FI"
"T0000087",2026-04-10,"AMZN","BUY",586.7386,24.0468,0.1705,"C0049","FX"
"T0000088",2026-02-11,"TSLA","SELL",970.0014,154.6651,0.3601,"C0031","DERIV"
"T0000089",2026-05-26,"AMZN","SELL",256.6185,100.1279,0.0757,"C0022","EQ"
"T0000090",2026-04-01,"NVDA","BUY",799.5027,178.3399,0.0742,"C0054","DERIV"
"T0000091",2026-01-13,"BONO2030","BUY",139.0455,33.2598,0.1165,"C0031","FI"
"T0000092",2026-06-30,"TSLA","BUY",245.6813,67.2051,0.2308,"C0002","EQ"
"T0000093",2026-02-23,"MSFT","BUY",862.53,22.8919,0.1703,"C0024","FX"
"T0000094",2026-03-24,"GOOG","SELL",618.2372,58.4972,0.1447,"C0050","EQ"
"T0000095",2026-02-01,"MSFT","SELL",285.3163,27.7445,0.349,"C0019","EQ"
"T0000096",2026-03-01,"BONO2027","BUY",653.6988,74.5243,0.1157,"C0046","DERIV"
"T0000097",2026-01-29,"DOLAR","SELL",947.5233,52.9788,0.412,"C0051","EQ"
"T0000098",2026-03-22,"META","BUY",459.5975,173.5527,0.0549,"C0030","FI"
"T0000099",2026-04-18,"AAPL","BUY",246.799,70.3709,0.1609,"C0069","EQ"
"T0000100",2026-05-01,"AMZN","BUY",532.2344,39.5203,0.2338,"C0078","EQ"
"T0000101",2026-03-26,"AAPL","SELL",744.6641,13.5693,0.2691,"C0011","EQ"
"T0000102",2026-05-06,"GOOG","SELL",154.8418,38.006,0.0569,"C0057","EQ"
"T0000103",2026-06-20,"MSFT","BUY",866.7829,34.1625,0.0933,"C0054","EQ"
"T0000104",2026-04-22,"DOLAR","SELL",645.0432,136.7747,0.0426,"C0009","EQ"
"T0000105",2026-03-13,"ORO","BUY",983.8679,78.7195,0.1178,"C0036","EQ"
"T0000106",2026-01-29,"ORO","BUY",161.1572,34.1156,0.1007,"C0078","EQ"
"T0000107",2026-06-15,"META","BUY",203.7918,65.5185,0.2458,"C0075","FI"
"T0000108",2026-01-01,"BONO2030","BUY",839.995,60.7835,0.1744,"C0078","EQ"
"T0000109",2026-05-21,"META","BUY",530.9214,71.0556,0.1138,"C0020","FX"
"T0000110",2026-05-13,"AMZN","BUY",117.1083,43.034,0.3078,"C0064","EQ"
"T0000111",2026-02-24,"NVDA","BUY",825.4929,140.8915,0.1246,"C0056","EQ"
"T0000112",2026-05-24,"LETRA","SELL",844.9422,155.6529,0.2993,"C0045","EQ"
"T0000113",2026-02-12,"NVDA","BUY",308.643,21.4052,0.2028,"C0066","EQ"
"T0000114",2026-02-11,"NVDA","SELL",903.3009,121.1337,0.2021,"C0067","FI"
"T0000115",2026-02-11,"AMZN","SELL",724.3053,30.0362,0.2342,"C0017","DERIV"
"T0000116",2026-04-07,"DOLAR","BUY",883.4462,65.2023,0.0937,"C0040","EQ"
"T0000117",2026-06-06,"BONO2027","SELL",334.0276,121.6023,0.0583,"C0009","EQ"
"T0000118",2026-01-25,"DOLAR","BUY",996.2551,81.0701,0.221,"C0029","DERIV"
"T0000119",2026-04-25,"NVDA","BUY",129.4074,54.2306,0.0623,"C0003","FI"
"T0000120",2026-02-01,"GOOG","SELL",28.7904,58.963,0.079,"C0037","EQ"
"T0000121",2026-03-22,"AAPL","BUY",13.6249,330.486,0.1192,"C0051","WEALTH"
"T0000122",2026-01-14,"SP500","BUY",221.7387,172.3122,0.1907,"C0011","EQ"
"T0000123",2026-04-21,"NVDA","BUY",696.901,55.0546,0.1959,"C0054","FX"
"T0000124",2026-01-06,"AMZN","SELL",33.3117,42.24,0.0452,"C0009","FI"
"T0000125",2026-06-24,"ORO","BUY",366.8442,238.2546,0.1574,"C0039","WEALTH"
"T0000126",2026-02-12,"AMZN","SELL",513.8968,58.6707,0.047,"C0035","EQ"
"T0000127",2026-06-14,"META","SELL",957.1334,75.3568,0.5245,"C0056","EQ"
"T0000128",2026-04-23,"BONO2030","SELL",105.187,155.6352,0.0772,"C0039","EQ"
"T0000129",2026-04-23,"MSFT","BUY",132.9981,33.4281,0.374,"C0067","FX"
"T0000130",2026-01-31,"AAPL","BUY",618.8015,38.5369,0.1109,"C0002","EQ"
"T0000131",2026-06-11,"AMZN","SELL",313.2925,40.218,0.1972,"C0028","EQ"
"T0000132",2026-04-04,"DOLAR","SELL",489.7142,62.6186,0.084,"C0019","FI"
"T0000133",2026-01-06,"NVDA","SELL",790.4722,7.8991,0.1458,"C0056","WEALTH"
"T0000134",2026-02-07,"AAPL","BUY",16.2978,39.0742,0.1958,"C0068","WEALTH"
"T0000135",2026-04-05,"AAPL","SELL",397.6458,96.1353,0.3399,"C0044","FI"
"T0000136",2026-01-06,"MSFT","SELL",674.1867,70.0666,0.0933,"C0029","EQ"
"T0000137",2026-03-25,"AAPL","BUY",687.559,72.2774,0.0532,"C0005","EQ"
"T0000138",2026-01-15,"EURO","BUY",904.2136,15.3407,0.0652,"C0049","EQ"
"T0000139",2026-02-03,"DOLAR","BUY",912.0257,64.924,0.1466,"C0042","FI"
"T0000140",2026-06-19,"NVDA","BUY",265.2998,49.8092,0.1588,"C0037","EQ"
"T0000141",2026-01-12,"NVDA","SELL",985.2676,55.4938,0.1152,"C0057","WEALTH"
"T0000142",2026-05-08,"DOLAR","SELL",68.6931,111.5232,0.14,"C0024","EQ"
"T0000143",2026-06-03,"NVDA","SELL",520.971,173.8977,0.1128,"C0019","FI"
"T0000144",2026-02-10,"EURO","SELL",884.3465,44.6286,0.1056,"C0010","DERIV"
"T0000145",2026-03-07,"ORO","BUY",201.7876,33.8528,0.5231,"C0006","FX"
"T0000146",2026-02-25,"AAPL","BUY",589.5743,44.782,0.1432,"C0006","EQ"
"T0000147",2026-06-01,"GOOG","BUY",139.9071,101.4426,0.2832,"C0043","EQ"
"T0000148",2026-04-08,"LETRA","BUY",932.8839,49.6565,0.6539,"C0062","EQ"
"T0000149",2026-01-25,"GOOG","SELL",293.0575,39.0927,0.0614,"C0008","EQ"
"T0000150",2026-04-02,"NVDA","SELL",269.1961,52.3556,0.1251,"C0020","DERIV"
"T0000151",2026-04-17,"MSFT","BUY",335.5334,161.2829,0.1357,"C0009","EQ"
"T0000152",2026-03-02,"AMZN","BUY",216.8281,26.1403,0.2802,"C0076","FX"
"T0000153",2026-01-14,"META","SELL",113.8352,42.5799,0.1116,"C0054","FI"
"T0000154",2026-06-11,"NVDA","BUY",867.2639,23.4614,0.1641,"C0027","DERIV"
"T0000155",2026-05-04,"LETRA","BUY",725.286,327.3387,0.1516,"C0071","EQ"
"T0000156",2026-04-05,"TSLA","BUY",935.9252,37.3955,0.1702,"C0025","FI"
"T0000157",2026-02-01,"MSFT","SELL",922.8389,112.7128,0.0924,"C0006","EQ"
"T0000158",2026-06-04,"NVDA","SELL",110.6341,56.2797,0.6373,"C0054","WEALTH"
"T0000159",2026-05-18,"MSFT","BUY",329.4461,47.4516,0.0686,"C0044","WEALTH"
"T0000160",2026-01-28,"NVDA","SELL",733.7394,40.8829,0.1129,"C0055","FI"
"T0000161",2026-04-28,"SP500","BUY",149.9434,28.7059,0.1745,"C0029","FI"
"T0000162",2026-02-06,"META","SELL",704.1835,159.6943,0.1761,"C0076","FI"
"T0000163",2026-05-18,"AAPL","SELL",102.2486,90.0842,0.0674,"C0054","WEALTH"
"T0000164",2026-04-23,"NVDA","SELL",617.285,55.975,0.1242,"C0038","WEALTH"
"T0000165",2026-01-05,"MSFT","BUY",779.6156,22.7387,0.0587,"C0037","FX"
"T0000166",2026-02-04,"AAPL","SELL",579.219,36.9982,0.2357,"C0055","DERIV"
"T0000167",2026-03-19,"NVDA","SELL",513.0611,117.0352,0.0783,"C0072","EQ"
"T0000168",2026-01-14,"DOLAR","SELL",288.3605,24.6404,0.0692,"C0024","EQ"
"T0000169",2026-06-05,"TSLA","BUY",29.3711,34.5533,0.1354,"C0058","FX"
"T0000170",2026-05-02,"NVDA","BUY",310.9842,102.1598,0.064,"C0025","WEALTH"
"T0000171",2026-04-07,"NVDA","SELL",451.3038,74.0761,0.1544,"C0059","WEALTH"
"T0000172",2026-05-07,"MSFT","BUY",88.1881,33.7829,0.0974,"C0035","EQ"
"T0000173",2026-01-31,"MSFT","SELL",500.6309,204.8119,0.0932,"C0044","FX"
"T0000174",2026-02-12,"TSLA","BUY",999.1111,21.0602,0.0522,"C0076","EQ"
"T0000175",2026-06-29,"NVDA","SELL",200.1972,169.4473,0.0308,"C0053","WEALTH"
"T0000176",2026-03-22,"MSFT","SELL",903.6637,104.725,0.2646,"C0013","FI"
"T0000177",2026-01-27,"DOLAR","BUY",111.8689,10.1955,0.3909,"C0060","FI"
"T0000178",2026-01-30,"AMZN","BUY",606.391,70.5366,0.2889,"C0004","EQ"
"T0000179",2026-06-29,"DOLAR","BUY",325.9541,103.6293,0.1294,"C0040","FX"
"T0000180",2026-04-10,"NVDA","BUY",861.3922,28.9814,0.1485,"C0036","FI"
"T0000181",2026-03-16,"MSFT","SELL",241.9986,54.1342,0.1681,"C0023","EQ"
"T0000182",2026-05-25,"AMZN","BUY",300.8357,14.8974,0.111,"C0033","EQ"
"T0000183",2026-03-03,"AAPL","SELL",250.7847,26.4154,0.1827,"C0009","EQ"
"T0000184",2026-01-13,"EURO","BUY",713.9062,60.911,0.2236,"C0073","EQ"
"T0000185",2026-05-06,"TSLA","BUY",11.6281,67.8263,0.24,"C0069","FI"
"T0000186",2026-05-04,"MSFT","SELL",426.8393,51.4737,0.2735,"C0038","FI"
"T0000187",2026-03-04,"META","BUY",441.2048,29.3842,0.1056,"C0057","EQ"
"T0000188",2026-02-18,"META","BUY",649.5023,87.7992,0.1661,"C0007","EQ"
"T0000189",2026-03-02,"META","SELL",828.7821,157.9066,0.1275,"C0046","FX"
"T0000190",2026-04-26,"EURO","SELL",582.6288,33.7618,0.0628,"C0032","WEALTH"
"T0000191",2026-01-01,"DOLAR","BUY",876.3573,57.1229,0.0788,"C0002","EQ"
"T0000192",2026-05-25,"ORO","SELL",284.7926,35.6996,0.1146,"C0059","EQ"
"T0000193",2026-06-10,"BONO2030","BUY",980.9957,51.1765,0.1595,"C0044","DERIV"
"T0000194",2026-01-28,"AMZN","BUY",792.2943,62.0912,0.2833,"C0029","EQ"
"T0000195",2026-01-02,"AMZN","BUY",605.0023,50.3142,0.2225,"C0055","EQ"
"T0000196",2026-06-08,"BONO2027","BUY",811.942,41.1079,0.0643,"C0027","FI"
"T0000197",2026-05-16,"NVDA","SELL",147.2525,37.4504,0.195,"C0030","EQ"
"T0000198",2026-05-07,"BONO2027","BUY",259.1906,56.1056,0.0788,"C0021","WEALTH"
"T0000199",2026-01-03,"BONO2027","SELL",692.5943,46.4986,0.2333,"C0051","FX"
"T0000200",2026-01-13,"TSLA","BUY",309.7713,35.3197,0.0767,"C0019","DERIV"
"T0000201",2026-01-12,"SP500","SELL",864.4359,73.8392,0.0646,"C0010","WEALTH"
"T0000202",2026-06-07,"DOLAR","BUY",681.4495,75.4132,0.1427,"C0005","FI"
"T0000203",2026-02-20,"MSFT","BUY",970.4161,62.564,0.0834,"C0042","EQ"
"T0000204",2026-04-05,"META","SELL",124.8485,22.6268,0.2575,"C0049","EQ"
"T0000205",2026-06-14,"TSLA","BUY",791.5986,75.3373,0.0724,"C0049","EQ"
"T0000206",2026-02-16,"META","BUY",559.6853,76.7576,0.1852,"C0049","EQ"
"T0000207",2026-02-25,"NVDA","BUY",922.0183,43.532,0.2455,"C0042","EQ"
"T0000208",2026-05-24,"GOOG","BUY",283.8612,85.0216,0.1101,"C0049","FX"
"T0000209",2026-01-10,"AAPL","BUY",670.0611,150.1275,0.1782,"C0018","EQ"
"T0000210",2026-06-02,"TSLA","SELL",190.2955,70.9689,0.0952,"C0001","EQ"
"T0000211",2026-01-03,"ORO","SELL",101.6119,100.6939,0.0687,"C0003","WEALTH"
"T0000212",2026-03-23,"ORO","SELL",217.8407,152.3315,0.0335,"C0041","EQ"
"T0000213",2026-06-30,"NVDA","SELL",195.3217,205.8421,0.078,"C0020","FX"
"T0000214",2026-01-28,"NVDA","SELL",61.5528,37.1668,0.1723,"C0038","WEALTH"
"T0000215",2026-04-03,"EURO","BUY",970.4485,39.3987,0.1421,"C0037","EQ"
"T0000216",2026-02-26,"BONO2030","SELL",254.3188,41.9662,0.0721,"C0019","WEALTH"
"T0000217",2026-03-25,"TSLA","BUY",759.5515,131.7441,0.1297,"C0078","EQ"
"T0000218",2026-04-28,"DOLAR","BUY",394.9735,86.9536,0.0319,"C0009","EQ"
"T0000219",2026-03-02,"AAPL","SELL",252.9038,117.4747,0.2209,"C0037","FX"
"T0000220",2026-04-12,"TSLA","BUY",796.8213,69.4868,0.0807,"C0054","WEALTH"
"T0000221",2026-06-20,"META","BUY",240.9427,43.3467,0.1261,"C0056","FI"
"T0000222",2026-05-30,"NVDA","BUY",150.5508,17.0317,0.1739,"C0042","EQ"
"T0000223",2026-06-03,"GOOG","SELL",179.4201,13.9612,0.0816,"C0005","EQ"
"T0000224",2026-02-23,"BONO2030","SELL",938.0504,272.8649,0.3277,"C0069","FI"
"T0000225",2026-02-24,"META","BUY",559.4563,54.7714,0.1634,"C0072","FI"
"T0000226",2026-02-23,"GOOG","BUY",729.3717,85.3344,0.1759,"C0022","EQ"
"T0000227",2026-02-27,"DOLAR","BUY",401.8857,95.1634,0.221,"C0032","EQ"
"T0000228",2026-06-22,"TSLA","BUY",227.1985,173.6526,0.2362,"C0017","WEALTH"
"T0000229",2026-06-14,"NVDA","BUY",173.9823,90.6291,0.1885,"C0043","EQ"
"T0000230",2026-02-12,"EURO","SELL",990.7523,55.7622,0.5633,"C0058","FI"
"T0000231",2026-03-26,"TSLA","SELL",887.7765,98.9189,0.0947,"C0049","EQ"
"T0000232",2026-06-11,"DOLAR","SELL",80.3331,72.0848,0.3467,"C0018","WEALTH"
"T0000233",2026-06-02,"MSFT","BUY",507.8991,33.0188,0.0603,"C0052","EQ"
"T0000234",2026-04-12,"META","BUY",890.798,117.5417,0.1002,"C0057","FI"
"T0000235",2026-05-22,"AAPL","SELL",775.9484,62.2746,0.102,"C0011","FI"
"T0000236",2026-02-18,"EURO","SELL",98.8256,53.1031,0.0793,"C0024","EQ"
"T0000237",2026-05-19,"AAPL","SELL",352.5975,26.1384,0.145,"C0049","EQ"
"T0000238",2026-06-05,"LETRA","BUY",739.0209,136.7896,0.2007,"C0039","EQ"
"T0000239",2026-01-18,"DOLAR","BUY",569.8706,39.9687,0.0831,"C0071","WEALTH"
"T0000240",2026-02-24,"AMZN","SELL",544.7235,50.4302,0.1687,"C0057","WEALTH"
"T0000241",2026-06-19,"AAPL","BUY",849.4711,53.3902,0.1987,"C0078","WEALTH"
"T0000242",2026-02-05,"TSLA","BUY",278.062,52.1648,0.1441,"C0079","FX"
"T0000243",2026-05-28,"ORO","SELL",750.6417,85.1596,0.084,"C0023","FI"
"T0000244",2026-03-12,"META","BUY",183.281,112.341,0.0702,"C0067","FX"
"T0000245",2026-04-23,"TSLA","BUY",826.8929,83.8726,0.0815,"C0003","FI"
"T0000246",2026-01-27,"AMZN","BUY",599.89,16.8281,0.1856,"C0052","DERIV"
"T0000247",2026-04-04,"NVDA","BUY",34.8438,7.9448,0.396,"C0010","WEALTH"
"T0000248",2026-05-13,"NVDA","BUY",505.2094,40.7716,0.0948,"C0018","FX"
"T0000249",2026-03-27,"AMZN","BUY",570.7557,47.2279,0.3287,"C0020","EQ"
"T0000250",2026-05-28,"NVDA","BUY",713.9555,48.4605,0.0729,"C0051","FX"
"T0000251",2026-04-24,"META","BUY",424.5224,17.9184,0.0965,"C0013","EQ"
"T0000252",2026-06-18,"GOOG","SELL",721.2645,31.7062,0.1298,"C0028","FI"
"T0000253",2026-05-19,"SP500","SELL",258.5242,12.7395,0.105,"C0075","EQ"
"T0000254",2026-02-07,"TSLA","BUY",918.4244,450.873,0.1513,"C0049","WEALTH"
"T0000255",2026-04-16,"NVDA","BUY",288.2148,84.5452,0.2243,"C0015","DERIV"
"T0000256",2026-05-07,"BONO2027","SELL",938.8402,54.33,0.2547,"C0020","FX"
"T0000257",2026-05-31,"DOLAR","BUY",953.1549,12.0358,0.2148,"C0051","FI"
"T0000258",2026-03-31,"ORO","SELL",144.3584,44.105,0.0551,"C0061","FI"
"T0000259",2026-04-25,"GOOG","SELL",666.93,105.2507,0.0954,"C0056","EQ"
"T0000260",2026-04-15,"NVDA","SELL",943.0657,101.7537,0.1099,"C0058","EQ"
"T0000261",2026-01-11,"NVDA","BUY",443.0682,78.5137,0.206,"C0001","EQ"
"T0000262",2026-05-27,"AAPL","SELL",460.6012,168.6865,0.0531,"C0038","FI"
"T0000263",2026-02-05,"META","BUY",826.3151,12.8218,0.0905,"C0020","FI"
"T0000264",2026-06-19,"NVDA","BUY",680.0777,22.602,0.2026,"C0077","EQ"
"T0000265",2026-02-28,"MSFT","SELL",293.4132,53.7673,0.2411,"C0058","WEALTH"
"T0000266",2026-04-23,"DOLAR","SELL",621.112,61.525,0.1618,"C0010","EQ"
"T0000267",2026-01-30,"NVDA","BUY",555.6606,35.6609,0.3734,"C0015","FI"
"T0000268",2026-04-18,"META","BUY",540.5267,142.3483,0.0319,"C0060","DERIV"
"T0000269",2026-05-29,"GOOG","BUY",926.1062,10.6539,0.156,"C0001","DERIV"
"T0000270",2026-02-16,"BONO2030","BUY",316.4196,24.2533,0.1305,"C0004","EQ"
"T0000271",2026-04-15,"NVDA","BUY",370.3378,196.9864,0.0745,"C0069","DERIV"
"T0000272",2026-03-29,"SP500","BUY",346.6464,111.4839,0.0971,"C0003","WEALTH"
"T0000273",2026-04-24,"SP500","SELL",212.8878,16.2134,0.157,"C0028","DERIV"
"T0000274",2026-05-15,"TSLA","BUY",936.865,105.5118,0.2816,"C0004","DERIV"
"T0000275",2026-05-22,"DOLAR","BUY",292.4537,73.1454,0.1581,"C0048","FI"
"T0000276",2026-01-12,"GOOG","SELL",995.777,18.8264,0.201,"C0054","WEALTH"
"T0000277",2026-06-30,"NVDA","BUY",147.5294,72.796,0.0778,"C0019","FX"
"T0000278",2026-02-20,"TSLA","SELL",851.6079,111.5414,0.1041,"C0053","EQ"
"T0000279",2026-01-10,"DOLAR","BUY",600.1357,24.6289,0.1327,"C0041","FI"
"T0000280",2026-05-01,"AAPL","BUY",836.4774,82.7428,0.1481,"C0044","WEALTH"
"T0000281",2026-03-30,"META","SELL",628.8634,20.3161,0.1867,"C0049","FI"
"T0000282",2026-02-06,"AMZN","SELL",454.6809,83.4111,0.1216,"C0051","DERIV"
"T0000283",2026-06-12,"NVDA","BUY",804.1066,24.8676,0.2153,"C0026","FI"
"T0000284",2026-06-11,"TSLA","BUY",122.3336,40.4232,0.1593,"C0061","EQ"
"T0000285",2026-01-27,"AMZN","SELL",964.2444,23.727,0.0603,"C0025","WEALTH"
"T0000286",2026-02-15,"ORO","SELL",537.2373,95.4053,0.1686,"C0061","EQ"
"T0000287",2026-01-31,"META","SELL",920.1051,48.6397,0.0488,"C0011","EQ"
"T0000288",2026-04-01,"ORO","BUY",541.7231,81.356,0.0928,"C0041","FI"
"T0000289",2026-04-10,"ORO","BUY",106.3997,89.467,0.1618,"C0058","EQ"
"T0000290",2026-04-30,"SP500","BUY",558.8088,54.4002,0.0622,"C0072","FI"
"T0000291",2026-02-22,"AAPL","BUY",977.2245,50.7542,0.1269,"C0067","FX"
"T0000292",2026-01-24,"TSLA","SELL",495.344,75.1862,0.1285,"C0016","EQ"
"T0000293",2026-06-15,"BONO2030","BUY",555.8296,87.4547,0.1263,"C0072","EQ"
